Task Name,Priority,Owner,Custom Status,% Completed,Tags,Work hours,Start Date,Due Date,Milestone Name,Predecessors,Successors
Sort by and count shouldn't show when there are no QA tasks at all,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
If you do not add a year scheduled date validation should be visible,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Issues,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add filtering by zone,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Issues stats,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Issues sorting has no effect,High,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Audits,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add filtering by zone,None,Paul McAvoy,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Swap to location switcher header,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Audit sorting not functional currently,High,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Submitted Checklists,None,"Andrew Morgan, Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add filtering by zone,None,Paul McAvoy,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Banner Header,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Location switcher instead of zone specific header,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Submitted checklist card,None,Dmitrijs Smirnovs,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Add sorting options,None,Andrew Morgan,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Location Management,None,Paul McAvoy,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
CR01 | Location Opening Hours,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Edit member has an authorisation issue,None,"Andrew Morgan, Paul McAvoy",Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Remove Edit Zone link in header,None,Paul McAvoy,Closed,100,,00:00,,,Phase 5 - Front End Page Templates (Dashboard),,
Super User,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,None,,
Company Search,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,None,,
Location Manager,None,"Paul McAvoy, Dmitrijs Smirnovs",Closed,100,,00:00,,,None,,
